flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.006540775299072266,506,514,510.0,4.0,305.7741488663702,155944.8159218488,1,1,506,514,0.006540775299072266,0.006540775299072266,0.006540775299072266,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,604,0.008121967315673828,286,318,302.0,16.0,246.2457582340163,74366.21898667293,1,1,318,286,0.008121967315673828,0.008121967315673828,0.008121967315673828,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,2,200,6.890296936035156e-05,90,110,100.0,10.0,29026.32525951557,2902632.525951557,1,1,110,90,6.890296936035156e-05,6.890296936035156e-05,6.890296936035156e-05,0.0
