flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.008649110794067383,506,514,510.0,4.0,231.2376436860821,117931.19827990187,1,1,506,514,0.008649110794067383,0.008649110794067383,0.008649110794067383,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,588,0.012370109558105469,270,318,294.0,24.0,161.6800555084419,47533.93631948192,1,1,318,270,0.012370109558105469,0.012370109558105469,0.012370109558105469,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,4,576,0.0242919921875,110,182,144.0,26.90724809414742,164.66331658291458,23711.5175879397,2,2,284,292,0.00015997886657714844,0.023953914642333984,0.008097330729166666,0.011212300451687997
flow_4,172.28.0.2,172.28.0.3,,,ICMP,1,125,0.0,125,125,125.0,0.0,0.0,0.0,0,1,0,125,0.0,0.0,0.0,0.0
flow_5,172.28.0.2,172.28.0.3,39522,5201,TCP,1,54,0.0,54,54,54.0,0.0,0.0,0.0,0,1,0,54,0.0,0.0,0.0,0.0
