flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.00739598274230957,506,514,510.0,4.0,270.41707230585735,137912.70687598723,1,1,506,514,0.00739598274230957,0.00739598274230957,0.00739598274230957,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,588,0.009711980819702148,270,318,294.0,24.0,205.93121394378298,60543.7768994722,1,1,318,270,0.009711980819702148,0.009711980819702148,0.009711980819702148,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,299,90398,6.000294923782349,130,374,302.3344481605351,37.791124366480076,49.830883947871385,15065.592799731363,287,12,86630,3768,5.9604644775390625e-06,0.0872030258178711,0.020135217865041438,0.018459054449572534
flow_4,172.28.0.2,172.28.0.3,,,ICMP,12,3104,6.0000200271606445,111,319,258.6666666666667,50.40888369678062,1.9999933243020678,517.3316065528015,0,12,0,3104,0.0005509853363037109,1.0299720764160156,0.5454563661055132,0.4834381583005449
