flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.010851144790649414,506,514,510.0,4.0,184.3123503174917,93999.29866192077,1,1,506,514,0.010851144790649414,0.010851144790649414,0.010851144790649414,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,604,0.013624191284179688,286,318,302.0,16.0,146.7977040459191,44332.906621867565,1,1,318,286,0.013624191284179688,0.013624191284179688,0.013624191284179688,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,6,600,4.514117956161499,90,110,100.0,10.0,1.329163317899206,132.91633178992058,3,3,330,270,0.00028896331787109375,2.4155080318450928,0.9028235912322998,1.1098284480566867
