flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.008440017700195312,506,514,510.0,4.0,236.96632768361582,120852.82711864407,1,1,506,514,0.008440017700195312,0.008440017700195312,0.008440017700195312,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,620,0.011334896087646484,286,334,310.0,24.0,176.44625804551765,54698.33999411047,1,1,334,286,0.011334896087646484,0.011334896087646484,0.011334896087646484,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,47,8054,7.690720081329346,106,362,171.36170212765958,61.467315491230835,6.111261299719027,1047.2361384667456,28,19,4648,3406,1.71661376953125e-05,0.7224950790405273,0.16718956698542056,0.2156881148639725
