flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.016952037811279297,506,514,510.0,4.0,117.97991617676014,60169.757250147675,1,1,506,514,0.016952037811279297,0.016952037811279297,0.016952037811279297,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,604,0.009269952774047852,286,318,302.0,16.0,215.75082945397494,65156.75049510044,1,1,318,286,0.009269952774047852,0.009269952774047852,0.009269952774047852,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,20,9404,5.7452781200408936,94,1418,470.2,444.9601779934919,3.481119552808985,1636.8224137307845,13,7,6970,2434,0.00015592575073242188,1.285714864730835,0.3023830589495207,0.42774061944361425
