flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.007158994674682617,506,514,510.0,4.0,279.3688347154228,142478.10570486562,1,1,506,514,0.007158994674682617,0.007158994674682617,0.007158994674682617,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,604,0.011710166931152344,286,318,302.0,16.0,170.79175828650543,51579.11100252464,1,1,318,286,0.011710166931152344,0.011710166931152344,0.011710166931152344,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,2,200,0.00019598007202148438,90,110,100.0,10.0,10205.119221411192,1020511.9221411193,1,1,110,90,0.00019598007202148438,0.00019598007202148438,0.00019598007202148438,0.0
