flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.01146388053894043,506,514,510.0,4.0,174.46099453029137,88975.1072104486,1,1,506,514,0.01146388053894043,0.01146388053894043,0.01146388053894043,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,604,0.008899927139282227,286,318,302.0,16.0,224.72094082348843,67865.7241286935,1,1,318,286,0.008899927139282227,0.008899927139282227,0.008899927139282227,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,10,2948,3.1435368061065674,186,378,294.8,59.78093341526209,3.181130241762786,937.7971952716692,5,5,1394,1554,0.0001239776611328125,2.565225839614868,0.34928186734517414,0.7898830739920584
flow_4,172.28.0.2,172.28.0.3,,,ICMP,5,1199,3.143254041671753,149,310,239.8,58.03929703226944,1.5907082067540201,381.451827979614,0,5,0,1199,0.11839604377746582,2.5653610229492188,0.7858135104179382,1.0300621360762499
