flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.01672816276550293,506,514,510.0,4.0,119.55885580719182,60975.01646166783,1,1,506,514,0.01672816276550293,0.01672816276550293,0.01672816276550293,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,604,0.009058952331542969,286,318,302.0,16.0,220.77608169280978,66674.37667122854,1,1,318,286,0.009058952331542969,0.009058952331542969,0.009058952331542969,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,30,6988,7.66273307800293,122,394,232.93333333333334,98.62485600609119,3.915052200646226,911.9461592705276,15,15,3414,3574,0.0001289844512939453,1.964684009552002,0.2642321751035493,0.46606136922505675
flow_4,172.28.0.2,172.28.0.3,47434,8080,TCP,1,54,0.0,54,54,54.0,0.0,0.0,0.0,0,1,0,54,0.0,0.0,0.0,0.0
flow_5,172.28.0.2,172.28.0.3,,,ICMP,9,2202,7.626391172409058,145,319,244.66666666666666,65.53031529164363,1.1801125586844297,288.73420602479047,0,9,0,2202,0.06941103935241699,2.955141067504883,0.9532988965511322,1.1154563363687147
flow_6,172.28.0.2,172.28.0.3,47446,8080,TCP,1,54,0.0,54,54,54.0,0.0,0.0,0.0,0,1,0,54,0.0,0.0,0.0,0.0
flow_7,172.28.0.2,172.28.0.3,47460,8080,TCP,1,54,0.0,54,54,54.0,0.0,0.0,0.0,0,1,0,54,0.0,0.0,0.0,0.0
flow_8,172.28.0.2,172.28.0.3,44880,8080,TCP,1,54,0.0,54,54,54.0,0.0,0.0,0.0,0,1,0,54,0.0,0.0,0.0,0.0
flow_9,172.28.0.2,172.28.0.3,44890,8080,TCP,1,54,0.0,54,54,54.0,0.0,0.0,0.0,0,1,0,54,0.0,0.0,0.0,0.0
flow_10,172.28.0.2,172.28.0.3,44902,8080,TCP,1,54,0.0,54,54,54.0,0.0,0.0,0.0,0,1,0,54,0.0,0.0,0.0,0.0
