flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.006334066390991211,506,514,510.0,4.0,315.75292656302935,161033.99254714497,1,1,506,514,0.006334066390991211,0.006334066390991211,0.006334066390991211,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,620,0.016279935836791992,286,334,310.0,24.0,122.85060703249711,38083.6881800741,1,1,334,286,0.016279935836791992,0.016279935836791992,0.016279935836791992,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,36,5528,7.437180042266846,106,202,153.55555555555554,30.518158933516258,4.840544372383815,743.2924802927147,18,18,2612,2916,1.3113021850585938e-05,0.7911908626556396,0.21249085835048132,0.2627962664809328
