flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.011241912841796875,506,514,510.0,4.0,177.90566677977606,90731.89005768578,1,1,506,514,0.011241912841796875,0.011241912841796875,0.011241912841796875,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,604,0.008220911026000977,286,318,302.0,16.0,243.28203938400858,73471.17589397059,1,1,318,286,0.008220911026000977,0.008220911026000977,0.008220911026000977,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,2,260,0.0001761913299560547,122,138,130.0,8.0,11351.296346414074,1475668.5250338295,1,1,138,122,0.0001761913299560547,0.0001761913299560547,0.0001761913299560547,0.0
flow_4,172.28.0.2,172.28.0.3,60082,5201,TCP,1,54,0.0,54,54,54.0,0.0,0.0,0.0,0,1,0,54,0.0,0.0,0.0,0.0
