flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.01364588737487793,506,514,510.0,4.0,146.56430505809382,74747.79557962785,1,1,506,514,0.01364588737487793,0.01364588737487793,0.01364588737487793,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,620,0.01471400260925293,286,334,310.0,24.0,135.92494531313295,42136.73304707121,1,1,334,286,0.01471400260925293,0.01471400260925293,0.01471400260925293,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,316,94456,5.999217987060547,122,378,298.9113924050633,36.39418157469114,52.67353189725173,15744.718762300028,304,12,90656,3800,0.00013399124145507812,0.04882407188415527,0.01904513646685888,0.009996632309996397
