flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.0108489990234375,506,514,510.0,4.0,184.34880450070324,94017.89029535865,1,1,506,514,0.0108489990234375,0.0108489990234375,0.0108489990234375,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,604,0.01670217514038086,286,318,302.0,16.0,119.74488251919948,36162.954520798245,1,1,318,286,0.01670217514038086,0.01670217514038086,0.01670217514038086,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,345,100842,6.993970155715942,250,342,292.295652173913,23.5930377520948,49.32820591435364,14418.420118305072,333,12,97074,3768,7.867813110351562e-06,0.08872103691101074,0.020331308592197506,0.018070571937396834
