flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,4500,4500,UDP,30,4960,6.89780592918396,118,218,165.33333333333334,30.30658161008742,4.349209054008443,719.0692302627292,15,15,2366,2594,5.793571472167969e-05,0.9505829811096191,0.2378553768684124,0.31651237362147466
flow_2,172.28.0.2,172.28.0.3,,,ICMP,11,1421,6.438072919845581,104,155,129.1818181818182,18.234922448264342,1.708585804626742,220.7182207613273,0,11,0,1421,0.22727394104003906,0.9507770538330078,0.6438072919845581,0.24277561508089118
flow_3,172.28.0.2,172.28.0.3,37644,2525,TCP,1,54,0.0,54,54,54.0,0.0,0.0,0.0,0,1,0,54,0.0,0.0,0.0,0.0
flow_4,172.28.0.2,172.28.0.3,53492,2525,TCP,1,54,0.0,54,54,54.0,0.0,0.0,0.0,0,1,0,54,0.0,0.0,0.0,0.0
flow_5,172.28.0.2,172.28.0.3,53506,2525,TCP,1,54,0.0,54,54,54.0,0.0,0.0,0.0,0,1,0,54,0.0,0.0,0.0,0.0
flow_6,172.28.0.2,172.28.0.3,53512,2525,TCP,1,54,0.0,54,54,54.0,0.0,0.0,0.0,0,1,0,54,0.0,0.0,0.0,0.0
