flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.011327028274536133,506,514,510.0,4.0,176.56881853964512,90050.09745521902,1,1,506,514,0.011327028274536133,0.011327028274536133,0.011327028274536133,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,620,0.012233972549438477,286,334,310.0,24.0,163.47919630502992,50678.550854559275,1,1,334,286,0.012233972549438477,0.012233972549438477,0.012233972549438477,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,4,536,8.392333984375e-05,106,170,134.0,23.664319132398465,47662.545454545456,6386781.090909091,2,2,260,276,2.193450927734375e-05,3.695487976074219e-05,2.7974446614583332e-05,6.474965588909365e-06
