flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.006472110748291016,506,514,510.0,4.0,309.01819789287555,157599.28092536653,1,1,506,514,0.006472110748291016,0.006472110748291016,0.006472110748291016,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,620,0.011599063873291016,286,334,310.0,24.0,172.42770811921892,53452.589516957865,1,1,334,286,0.011599063873291016,0.011599063873291016,0.011599063873291016,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,34,7252,8.005112886428833,122,394,213.2941176470588,80.89191387341386,4.247285513942049,905.921016091404,20,14,4104,3148,5.9604644775390625e-06,0.9855148792266846,0.24257917837663132,0.3017134727234054
