flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.010345220565795898,506,514,510.0,4.0,193.3259892604457,98596.25452282731,1,1,506,514,0.010345220565795898,0.010345220565795898,0.010345220565795898,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,620,0.010069131851196289,286,334,310.0,24.0,198.6268557762887,61574.32529064949,1,1,334,286,0.010069131851196289,0.010069131851196289,0.010069131851196289,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,28,5704,6.166801929473877,138,362,203.71428571428572,64.0484510478798,4.540440948196439,924.9526845897317,16,12,3184,2520,0.0001399517059326172,0.8752458095550537,0.22840007146199545,0.2829447873691682
