flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.00642085075378418,506,514,510.0,4.0,311.4852029259961,158857.453492258,1,1,506,514,0.00642085075378418,0.00642085075378418,0.00642085075378418,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,604,0.00890803337097168,286,318,302.0,16.0,224.51644675213447,67803.96691914462,1,1,318,286,0.00890803337097168,0.00890803337097168,0.00890803337097168,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,10,1000,6.641088008880615,90,110,100.0,10.0,1.5057773645866115,150.57773645866115,5,5,550,450,0.00014209747314453125,1.9502110481262207,0.7378986676534017,0.8516434818435077
