flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.010860919952392578,506,514,510.0,4.0,184.14646353777934,93914.69640426747,1,1,506,514,0.010860919952392578,0.010860919952392578,0.010860919952392578,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,34,5940,8.588212966918945,118,318,174.7058823529412,41.19932139058825,3.9589144017463314,691.645633716859,17,17,2866,3074,0.0001270771026611328,2.195712089538574,0.2602488777854226,0.43171215471127733
flow_3,172.28.0.2,172.28.0.3,,,ICMP,12,1569,6.38399600982666,113,157,130.75,13.286114305293829,1.8797004229841032,245.7708303051715,0,12,0,1569,0.23732519149780273,0.9910309314727783,0.5803632736206055,0.213989511393694
flow_4,172.28.0.2,172.28.0.3,54368,2525,TCP,1,54,0.0,54,54,54.0,0.0,0.0,0.0,0,1,0,54,0.0,0.0,0.0,0.0
flow_5,172.28.0.2,172.28.0.3,54740,2525,TCP,1,54,0.0,54,54,54.0,0.0,0.0,0.0,0,1,0,54,0.0,0.0,0.0,0.0
flow_6,172.28.0.2,172.28.0.3,54744,2525,TCP,1,54,0.0,54,54,54.0,0.0,0.0,0.0,0,1,0,54,0.0,0.0,0.0,0.0
flow_7,172.28.0.2,172.28.0.3,54760,2525,TCP,1,54,0.0,54,54,54.0,0.0,0.0,0.0,0,1,0,54,0.0,0.0,0.0,0.0
