flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.011250019073486328,506,514,510.0,4.0,177.77747637010978,90666.51294875599,1,1,506,514,0.011250019073486328,0.011250019073486328,0.011250019073486328,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,620,0.01147007942199707,286,334,310.0,24.0,174.3667089318007,54053.679768858216,1,1,334,286,0.01147007942199707,0.01147007942199707,0.01147007942199707,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,743,818150,7.020143032073975,122,1514,1101.1440107671601,265.9333333889009,105.83829939152879,116543.2094847635,730,13,809908,8242,9.5367431640625e-07,0.04706311225891113,0.009461109207646866,0.01197648455151624
