flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.007794857025146484,506,514,510.0,4.0,256.5794335352052,130855.51110295467,1,1,506,514,0.007794857025146484,0.007794857025146484,0.007794857025146484,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,620,0.010144948959350586,286,334,310.0,24.0,197.14244083570304,61114.15665906794,1,1,334,286,0.010144948959350586,0.010144948959350586,0.010144948959350586,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,66,27012,6.942897081375122,122,1498,409.27272727272725,421.12858992972485,9.506118155928062,3890.594903453467,33,33,13386,13626,9.107589721679688e-05,0.44545412063598633,0.10681380125192495,0.14322745589758681
