flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.00842905044555664,506,514,510.0,4.0,237.2746506760197,121010.07184477003,1,1,506,514,0.00842905044555664,0.00842905044555664,0.00842905044555664,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,604,0.010469913482666016,286,318,302.0,16.0,191.02354602176982,57689.11089857449,1,1,318,286,0.010469913482666016,0.010469913482666016,0.010469913482666016,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,8,800,6.041723012924194,90,110,100.0,10.0,1.3241255818723805,132.41255818723803,4,4,440,360,6.103515625e-05,2.6566920280456543,0.8631032875605992,1.041349870612148
