flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.0072460174560546875,506,514,510.0,4.0,276.01368781258225,140766.98078441696,1,1,506,514,0.0072460174560546875,0.0072460174560546875,0.0072460174560546875,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,604,0.010776996612548828,286,318,302.0,16.0,185.58046104154684,56045.29923454714,1,1,318,286,0.010776996612548828,0.010776996612548828,0.010776996612548828,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,12,3176,5.312877893447876,138,386,264.6666666666667,73.58139861556195,2.2586628642075586,597.7927713936006,6,6,1504,1672,7.700920104980469e-05,2.4833738803863525,0.48298889940435236,0.8243702527960983
