flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.009873151779174805,506,514,510.0,4.0,202.5695588128758,103310.47499456666,1,1,506,514,0.009873151779174805,0.009873151779174805,0.009873151779174805,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,31,6798,8.872428178787231,150,366,219.29032258064515,56.21513603337433,3.493970238509992,766.19386069003,18,13,3804,2994,0.00012493133544921875,2.2619941234588623,0.2957476059595744,0.458339759197373
flow_3,172.28.0.2,172.28.0.3,,,ICMP,12,1959,6.188229084014893,113,303,163.25,54.05417806855143,1.9391654441167616,316.56875875206134,0,12,0,1959,0.18497109413146973,1.0626959800720215,0.5625662803649902,0.2883069861927195
