flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.012504100799560547,506,514,510.0,4.0,159.94752698013195,81573.2387598673,1,1,506,514,0.012504100799560547,0.012504100799560547,0.012504100799560547,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,591,613170,8.288037061691284,106,1450,1037.51269035533,318.60666321614036,71.3075961896578,73982.53596550334,578,13,605052,8118,2.1457672119140625e-06,2.255908966064453,0.01404752044354455,0.09294113581044089
flow_3,172.28.0.2,172.28.0.3,,,ICMP,12,7080,6.003610849380493,590,590,590.0,0.0,1.9987971074504718,1179.2902933957785,0,12,0,7080,0.0019538402557373047,1.0118250846862793,0.5457828044891357,0.4931783997900217
