capture_id,pcap_file,pcap_path,status,packet_count,flow_count,tshark_packet_count,validation_status,validation_errors,error_message
exp_064_email_transport_aes_cbc_128_1789045123,exp_064_email_transport_aes_cbc_128_1789045123.pcapng,raw_pcapng/exp_064_email_transport_aes_cbc_128_1789045123.pcapng,SUCCESS,44,3,44,PASSED,,
exp_065_email_tunnel_3des_cbc_1789045168,exp_065_email_tunnel_3des_cbc_1789045168.pcapng,raw_pcapng/exp_065_email_tunnel_3des_cbc_1789045168.pcapng,SUCCESS,25,6,25,PASSED,,
exp_066_email_transport_3des_cbc_1789045214,exp_066_email_transport_3des_cbc_1789045214.pcapng,raw_pcapng/exp_066_email_transport_3des_cbc_1789045214.pcapng,SUCCESS,12,1,12,PASSED,,
exp_067_email_tunnel_aes_gcm_16_256_1789045261,exp_067_email_tunnel_aes_gcm_16_256_1789045261.pcapng,raw_pcapng/exp_067_email_tunnel_aes_gcm_16_256_1789045261.pcapng,SUCCESS,41,7,41,PASSED,,
exp_068_email_transport_aes_gcm_16_128_1789045304,exp_068_email_transport_aes_gcm_16_128_1789045304.pcapng,raw_pcapng/exp_068_email_transport_aes_gcm_16_128_1789045304.pcapng,SUCCESS,14,3,14,PASSED,,
exp_069_email_tunnel_aes_cbc_256_1789045347,exp_069_email_tunnel_aes_cbc_256_1789045347.pcapng,raw_pcapng/exp_069_email_tunnel_aes_cbc_256_1789045347.pcapng,SUCCESS,26,8,26,PASSED,,
exp_070_email_transport_aes_cbc_128_1789045393,exp_070_email_transport_aes_cbc_128_1789045393.pcapng,raw_pcapng/exp_070_email_transport_aes_cbc_128_1789045393.pcapng,SUCCESS,44,3,44,PASSED,,
exp_071_email_tunnel_3des_cbc_1789045437,exp_071_email_tunnel_3des_cbc_1789045437.pcapng,raw_pcapng/exp_071_email_tunnel_3des_cbc_1789045437.pcapng,SUCCESS,19,6,19,PASSED,,
exp_072_email_transport_3des_cbc_1789045483,exp_072_email_transport_3des_cbc_1789045483.pcapng,raw_pcapng/exp_072_email_transport_3des_cbc_1789045483.pcapng,SUCCESS,23,2,23,PASSED,,
exp_073_email_tunnel_aes_gcm_16_256_1789045529,exp_073_email_tunnel_aes_gcm_16_256_1789045529.pcapng,raw_pcapng/exp_073_email_tunnel_aes_gcm_16_256_1789045529.pcapng,SUCCESS,56,7,56,PASSED,,
exp_074_email_transport_aes_gcm_16_128_1789045574,exp_074_email_transport_aes_gcm_16_128_1789045574.pcapng,raw_pcapng/exp_074_email_transport_aes_gcm_16_128_1789045574.pcapng,SUCCESS,16,3,16,PASSED,,
exp_075_email_tunnel_aes_cbc_256_1789045617,exp_075_email_tunnel_aes_cbc_256_1789045617.pcapng,raw_pcapng/exp_075_email_tunnel_aes_cbc_256_1789045617.pcapng,SUCCESS,17,6,17,PASSED,,
exp_076_bulk_tunnel_aes_gcm_16_256_1789045661,exp_076_bulk_tunnel_aes_gcm_16_256_1789045661.pcapng,raw_pcapng/exp_076_bulk_tunnel_aes_gcm_16_256_1789045661.pcapng,SUCCESS,6,3,6,PASSED,,
exp_077_bulk_transport_aes_gcm_16_128_1789045697,exp_077_bulk_transport_aes_gcm_16_128_1789045697.pcapng,raw_pcapng/exp_077_bulk_transport_aes_gcm_16_128_1789045697.pcapng,SUCCESS,6,3,6,PASSED,,
